1024 ========================================= 

(N=1024) (K=100) (BS=64) (Blocks:16)	Total time=0.128499
(N=1024) (K=100) (BS=128) (Blocks:8)	Total time=0.118263
(N=1024) (K=100) (BS=256) (Blocks:4)	Total time=0.118930
(N=1024) (K=100) (BS=512) (Blocks:2)	Total time=0.119826
(N=1024) (K=100) (BS=1024) (Blocks:1)	Total time=0.128110



2048 ========================================= 

(N=2048) (K=100) (BS=64) (Blocks:32)	Total time=0.374469
(N=2048) (K=100) (BS=128) (Blocks:16)	Total time=0.370141
(N=2048) (K=100) (BS=256) (Blocks:8)	Total time=0.382271
(N=2048) (K=100) (BS=512) (Blocks:4)	Total time=0.385794
(N=2048) (K=100) (BS=1024) (Blocks:2)	Total time=0.425856
(N=2048) (K=100) (BS=2048) (Blocks:1)	Total time=0.522692



4096 ========================================= 

(N=4096) (K=100) (BS=64) (Blocks:64)	Total time=1.277003
(N=4096) (K=100) (BS=128) (Blocks:32)	Total time=1.266447
(N=4096) (K=100) (BS=256) (Blocks:16)	Total time=1.299091
(N=4096) (K=100) (BS=512) (Blocks:8)	Total time=1.308982
(N=4096) (K=100) (BS=1024) (Blocks:4)	Total time=1.543525
(N=4096) (K=100) (BS=2048) (Blocks:2)	Total time=1.985775
(N=4096) (K=100) (BS=4096) (Blocks:1)	Total time=2.147856



8192 ========================================= 

(N=8192) (K=100) (BS=64) (Blocks:128)	Total time=4.515867
(N=8192) (K=100) (BS=128) (Blocks:64)	Total time=4.484220
(N=8192) (K=100) (BS=256) (Blocks:32)	Total time=4.617044
(N=8192) (K=100) (BS=512) (Blocks:16)	Total time=4.648565
(N=8192) (K=100) (BS=1024) (Blocks:8)	Total time=5.821091
(N=8192) (K=100) (BS=2048) (Blocks:4)	Total time=7.674840
(N=8192) (K=100) (BS=4096) (Blocks:2)	Total time=8.187305
(N=8192) (K=100) (BS=8192) (Blocks:1)	Total time=8.490010



16384 ========================================= 

(N=16384) (K=100) (BS=64) (Blocks:256)	Total time=16.716512
(N=16384) (K=100) (BS=128) (Blocks:128)	Total time=16.654815
(N=16384) (K=100) (BS=256) (Blocks:64)	Total time=17.103219
(N=16384) (K=100) (BS=512) (Blocks:32)	Total time=17.260007
(N=16384) (K=100) (BS=1024) (Blocks:16)	Total time=21.394425
(N=16384) (K=100) (BS=2048) (Blocks:8)	Total time=29.800506
(N=16384) (K=100) (BS=4096) (Blocks:4)	Total time=31.712152
(N=16384) (K=100) (BS=8192) (Blocks:2)	Total time=32.582161
(N=16384) (K=100) (BS=16384) (Blocks:1)	Total time=35.346381



32768 ========================================= 

(N=32768) (K=100) (BS=64) (Blocks:512)	Total time=63.900293
(N=32768) (K=100) (BS=128) (Blocks:256)	Total time=63.561662
(N=32768) (K=100) (BS=256) (Blocks:128)	Total time=65.402542
(N=32768) (K=100) (BS=512) (Blocks:64)	Total time=65.932427
(N=32768) (K=100) (BS=1024) (Blocks:32)	Total time=84.941120
(N=32768) (K=100) (BS=2048) (Blocks:16)	Total time=117.838528
(N=32768) (K=100) (BS=4096) (Blocks:8)	Total time=124.755785
(N=32768) (K=100) (BS=8192) (Blocks:4)	Total time=127.594522
(N=32768) (K=100) (BS=16384) (Blocks:2)	Total time=139.027900
(N=32768) (K=100) (BS=32768) (Blocks:1)	Total time=156.536764



